id,word,pos,zh,theme,emoji,spell,level,tier,alt
544,expect,v.,期待,verbs,,False,3,2,
545,expensive,adj.,昂貴的,money,,False,3,2,
546,experience,n.,經驗,nouns,,False,3,2,
547,explain,v.,解釋,school,,False,3,2,
548,fact,n.,事實,nouns,,True,2,2,
549,factory,n.,工廠,places,🏭,False,3,2,
550,fail,v.,不及格,school,,True,2,2,
551,fall,v.,跌倒,verbs,,True,2,2,
552,famous,adj.,有名的,traits,,False,3,2,
553,fan,n.,粉絲,sports,,True,2,2,
554,far,adj.,遠的,sizes,,True,2,2,
555,fat,adj.,胖的,traits,,True,2,2,
556,favorite,adj.,最喜愛的,adjectives,,False,3,2,
557,feed,v.,餵,verbs,,True,2,2,
558,feel,v.,感覺,verbs,,True,2,2,
559,festival,n.,節日,holidays,,False,3,2,
560,fever,n.,發燒,health,🤒,True,2,2,
561,few,adj.,很少的,numbers,,True,2,2,
562,fifty,num.,五十,numbers,,True,2,2,
563,fight,v.,打架,verbs,,True,2,2,
564,file,n.,檔案,nouns,📁,True,2,2,
565,fill,v.,裝滿,verbs,,True,2,2,
566,finally,adv.,最後,adverbs,,False,3,2,
567,find,v.,找到,verbs,,True,2,2,
568,fine,adj.,好的,adjectives,,True,2,2,
569,finish,v.,完成,verbs,,False,3,2,
570,fire,n.,火,nouns,🔥,True,2,2,
571,first,num.,第一,numbers,🥇,True,2,2,
572,fisherman,n.,漁夫,jobs,,False,3,2,
573,fix,v.,修理,house,🔧,True,2,2,
574,floor,n.,地板,house,,True,2,2,
575,flower,n.,花,nouns,🌸,False,3,2,
576,fly,v.,飛,transportation,,True,2,2,
577,follow,v.,跟隨,verbs,,False,3,2,
578,fool,n.,傻瓜,people,,True,2,2,
579,for,prep.,為了,prepositions,,False,2,2,
580,foreign,adj.,外國的,adjectives,,False,3,2,
581,foreigner,n.,外國人,nouns,,False,3,2,
582,forget,v.,忘記,verbs,,False,3,2,
583,forty,num.,四十,numbers,,True,2,2,
584,fox,n.,狐狸,animals,🦊,True,2,2,
585,free,adj.,免費的,adjectives,,True,2,2,
586,fresh,adj.,新鮮的,adjectives,,True,2,2,
587,friendly,adj.,友善的,traits,,False,3,2,
588,fries,n.,薯條,food,🍟,False,2,2,French fries
589,from,prep.,從,prepositions,,False,2,2,
590,front,n.,前面,places,,True,2,2,
591,fry,v.,油炸,verbs,,True,2,2,
592,full,adj.,飽的,food,,True,2,2,
593,fun,n.,樂趣,nouns,,True,2,2,
594,funny,adj.,好笑的,traits,,True,2,2,
595,future,n.,未來,time,,False,3,2,
596,garden,n.,花園,house,🏡,False,3,2,
597,garbage,n.,垃圾,nouns,🗑️,False,3,2,
598,gas,n.,瓦斯,nouns,,True,2,2,
599,gate,n.,大門,house,,True,2,2,
600,get,v.,得到,verbs,,True,2,2,
601,ghost,n.,鬼,nouns,👻,True,2,2,
602,giant,n.,巨人,people,,True,2,2,
603,gift,n.,禮物,nouns,🎁,True,2,2,
604,girl,n.,女孩,people,👧,True,2,2,
605,glad,adj.,高興的,adjectives,,True,2,2,
606,glass,n.,玻璃杯,tableware,🥛,True,2,2,
607,glasses,n.,眼鏡,school,👓,False,3,2,
608,glove,n.,手套,clothing,🧤,True,2,2,
609,glue,n.,膠水,school,,True,2,2,
610,goat,n.,山羊,animals,🐐,True,2,2,
611,god,n.,神,nouns,,False,2,2,
612,good-bye,interj.,再見,pronouns,👋,False,3,2,"goodbye, bye"
613,goose,n.,鵝,animals,🪿,True,2,2,
614,grade,n.,年級,school,,True,2,2,
615,gram,n.,公克,sizes,,False,2,2,
616,grass,n.,草,nouns,🌿,True,2,2,
617,gray,adj.,灰色的,colors,,True,2,2,
618,great,adj.,很棒的,adjectives,,True,2,2,
619,ground,n.,地面,nouns,,False,3,2,
620,group,n.,團體,nouns,,True,2,2,
621,grow,v.,長大,family,,True,2,2,
622,guava,n.,芭樂,food,,False,2,2,
623,guess,v.,猜,verbs,,True,2,2,
624,guitar,n.,吉他,sports,🎸,False,3,2,
625,guy,n.,傢伙,people,,True,2,2,
626,gym,n.,體育館,school,,True,2,2,
627,habit,n.,習慣,nouns,,True,2,2,
628,half,n.,一半,time,,True,2,2,
629,Halloween,n.,萬聖節,holidays,🎃,False,3,2,
630,ham,n.,火腿,food,,True,2,2,
631,handsome,adj.,英俊的,traits,,False,3,2,
632,hang,v.,懸掛,verbs,,True,2,2,
633,happen,v.,發生,verbs,,False,3,2,
634,hard,adj.,硬的,adjectives,,True,2,2,
635,hard-working,adj.,努力的,traits,,False,3,2,
636,hate,v.,討厭,verbs,,True,2,2,
637,have,aux.,有,auxiliaries,,False,2,2,"has, had"
638,he,pron.,他,pronouns,,False,2,2,"him, his, himself"
639,headache,n.,頭痛,health,,False,3,2,
640,health,n.,健康,health,,False,3,2,
641,healthy,adj.,健康的,health,,False,3,2,
642,hear,v.,聽見,verbs,👂,True,2,2,
643,heart,n.,心臟,body,❤️,True,2,2,
644,heat,n.,熱,nouns,,True,2,2,
645,heavy,adj.,重的,traits,,True,2,2,
646,height,n.,身高,sizes,,False,3,2,
647,hello,interj.,哈囉,pronouns,,False,2,2,
648,helpful,adj.,有幫助的,adjectives,,False,3,2,
649,hen,n.,母雞,animals,🐔,True,2,2,
650,here,adv.,這裡,places,,True,2,2,
651,hey,interj.,嘿,pronouns,,False,2,2,
652,hi,interj.,嗨,pronouns,,False,2,2,
653,hide,v.,躲藏,verbs,,True,2,2,
654,high,adj.,高的,sizes,,True,2,2,
655,hike,v.,健行,sports,🥾,True,2,2,
656,hill,n.,小山,geography,,True,2,2,
657,history,n.,歷史,school,,False,3,2,
658,hit,v.,打,verbs,,True,2,2,
659,hobby,n.,嗜好,sports,,True,2,2,
660,hold,v.,握著,verbs,,True,2,2,
661,holiday,n.,假日,holidays,,False,3,2,
662,honest,adj.,誠實的,traits,,False,3,2,
663,honey,n.,蜂蜜,nouns,🍯,True,2,2,
664,hope,v.,希望,verbs,,True,2,2,
665,hot dog,n.,熱狗,food,🌭,False,3,2,
666,hotel,n.,旅館,places,🏨,True,2,2,
667,hour,n.,小時,time,,True,2,2,
668,housewife,n.,家庭主婦,jobs,,False,3,2,
669,however,conj.,然而,conjunctions,,False,3,2,
670,hundred,num.,百,numbers,💯,False,3,2,
671,hunt,v.,打獵,verbs,,True,2,2,
672,hurry,v.,趕快,verbs,,True,2,2,
673,hurt,v.,使受傷,verbs,,True,2,2,
674,husband,n.,丈夫,family,,False,3,2,
675,I,pron.,我,pronouns,,False,2,2,"me, my, mine, myself"
676,ice,n.,冰,food,🧊,True,2,2,
677,idea,n.,主意,nouns,,True,2,2,
678,if,conj.,如果,conjunctions,,False,2,2,
679,important,adj.,重要的,adjectives,,False,3,2,
680,in,prep.,在…裡面,prepositions,,False,2,2,
681,inch,n.,英吋,sizes,,False,2,2,
682,insect,n.,昆蟲,animals,,False,3,2,
683,inside,prep.,在…內部,prepositions,,False,3,2,
684,interest,n.,興趣,nouns,,False,3,2,
685,interested,adj.,感興趣的,traits,,False,3,2,
686,interesting,adj.,有趣的,adjectives,,False,3,2,
687,Internet,n.,網路,nouns,🌐,False,3,2,Net
688,interview,n.,面試,nouns,,False,3,2,
689,into,prep.,進入,prepositions,,False,2,2,
690,invite,v.,邀請,verbs,,False,3,2,
691,island,n.,島,geography,🏝️,False,3,2,
692,it,pron.,它,pronouns,,False,2,2,"its, itself"
693,item,n.,項目,nouns,,False,2,2,
694,jeans,n.,牛仔褲,clothing,👖,True,2,2,
695,job,n.,工作,jobs,,True,2,2,
696,jog,v.,慢跑,sports,,True,2,2,
697,join,v.,加入,verbs,,True,2,2,
698,joke,n.,笑話,nouns,,True,2,2,
699,joy,n.,喜悅,nouns,,True,2,2,
700,junior high school,n.,國中,school,,False,3,2,
701,just,adv.,只是,adverbs,,False,2,2,
702,keep,v.,保持,verbs,,True,2,2,
703,kick,v.,踢,verbs,,True,2,2,
704,kid,n.,小孩子,people,,True,2,2,
705,kill,v.,殺,verbs,,True,2,2,
706,kilogram,n.,公斤,sizes,,False,3,2,
707,king,n.,國王,people,🤴,True,2,2,
708,kiss,v.,親吻,verbs,💋,True,2,2,
709,kite,n.,風箏,sports,🪁,True,2,2,
710,knife,n.,刀子,tableware,🔪,True,2,2,
711,knock,v.,敲,verbs,,True,2,2,
712,know,v.,知道,verbs,,True,2,2,
713,knowledge,n.,知識,school,,False,3,2,
714,lake,n.,湖,geography,,True,2,2,
715,lamp,n.,燈,house,💡,True,2,2,
716,land,v.,降落,transportation,🛬,True,2,2,
717,language,n.,語言,school,,False,3,2,
718,large,adj.,巨大的,sizes,,True,2,2,
719,last,adj.,最後的,numbers,,True,2,2,
720,late,adj.,遲的,time,,True,2,2,
721,later,adv.,稍後,time,,True,2,2,
722,laugh,v.,笑,verbs,😂,True,2,2,
723,lawyer,n.,律師,jobs,,False,3,2,
724,lazy,adj.,懶惰的,traits,,True,2,2,
725,lead,v.,帶領,verbs,,False,2,2,
726,leader,n.,領導者,nouns,,False,3,2,
727,least,adv.,最少地,adverbs,,False,2,2,
728,leave,v.,離開,verbs,,True,2,2,
729,left,n.,左邊,places,⬅️,True,2,2,
730,lemon,n.,檸檬,food,🍋,True,2,2,
731,lend,v.,借出,money,,True,2,2,
732,less,adj.,較少的,numbers,,True,2,2,
733,lesson,n.,課,school,,False,3,2,
734,let,v.,讓,verbs,,True,2,2,
735,letter,n.,信,school,✉️,False,3,2,
736,level,n.,等級,nouns,,True,2,2,
737,lie,v.,說謊,verbs,,True,2,2,
738,life,n.,生命,health,,True,2,2,
739,light,n.,燈,house,💡,True,2,2,
740,line,n.,線,sizes,,True,2,2,
741,lip,n.,嘴唇,body,👄,True,2,2,
742,list,n.,清單,verbs,📋,True,2,2,
743,little,adj.,一點點的,numbers,,False,3,2,
744,live,v.,住,family,,True,2,2,
745,living room,n.,客廳,house,🛋️,False,3,2,
746,lonely,adj.,寂寞的,traits,,False,3,2,
747,lose,v.,輸,sports,,True,2,2,
748,loud,adj.,大聲的,adjectives,,True,2,2,
749,lovely,adj.,可愛的,traits,,False,3,2,
750,low,adj.,低的,sizes,,True,2,2,
751,lucky,adj.,幸運的,adjectives,🍀,True,2,2,
752,machine,n.,機器,house,,False,3,2,
753,mad,adj.,生氣的,traits,😠,True,2,2,
754,magic,n.,魔法,adjectives,🪄,True,2,2,
755,mail,n.,郵件,nouns,📬,True,2,2,
756,mailman,n.,郵差,jobs,,False,3,2,mail carrier
757,main,adj.,主要的,adjectives,,True,2,2,
758,man,n.,男人,people,👨,True,2,2,
759,many,adj.,許多的,numbers,,True,2,2,
760,map,n.,地圖,school,🗺️,True,2,2,
761,mark,n.,記號,school,,True,2,2,
762,marker,n.,麥克筆,school,🖊️,False,3,2,
763,married,adj.,已婚的,family,,False,3,2,
764,mask,n.,面具,clothing,,True,2,2,
765,matter,n.,事情,nouns,,False,3,2,
766,may,aux.,可能,time,,False,2,2,might
767,maybe,adv.,也許,adverbs,,True,2,2,
768,meal,n.,一餐,food,🍽️,True,2,2,
769,mean,v.,意思是,verbs,,True,2,2,
770,meat,n.,肉,food,🥩,True,2,2,
771,medicine,n.,藥,health,💊,False,3,2,
772,medium,adj.,中等的,sizes,,False,3,2,
773,meet,v.,遇見,verbs,,True,2,2,
774,meeting,n.,會議,nouns,,False,3,2,
775,member,n.,成員,nouns,,False,3,2,
776,menu,n.,菜單,food,,True,2,2,
777,metro,n.,捷運,nouns,🚇,False,2,2,
778,middle,n.,中間,places,,False,3,2,
779,mile,n.,英里,sizes,,False,2,2,
780,million,num.,百萬,numbers,,False,3,2,
781,mind,n.,心思,nouns,,True,2,2,
782,minute,n.,分鐘,time,,False,3,2,
783,Miss,n.,小姐,people,,False,2,2,
784,miss,v.,想念,verbs,,True,2,2,
785,mistake,n.,錯誤,nouns,,False,3,2,
786,modern,adj.,現代的,adjectives,,False,3,2,
787,moment,n.,片刻,time,,False,3,2,
788,money,n.,錢,money,💰,True,2,2,
789,month,n.,月,time,📅,True,2,2,
790,more,adj.,更多的,numbers,,True,2,2,
791,mop,v.,拖地,verbs,🧹,True,2,2,
792,most,pron.,大多數,pronouns,,False,2,2,
793,mountain,n.,山,geography,⛰️,False,3,2,
794,move,v.,移動,verbs,,True,2,2,
795,movie,n.,電影,sports,🎬,True,2,2,
796,Mr,n.,先生,people,,False,2,2,
797,Mrs,n.,太太,people,,False,2,2,
798,Ms,n.,女士,people,,False,2,2,
799,much,adj.,很多的,numbers,,True,2,2,
800,mud,n.,泥巴,nouns,,True,2,2,
801,museum,n.,博物館,places,🏛️,False,3,2,
802,must,aux.,必須,auxiliaries,,False,2,2,
803,nail,n.,指甲,body,💅,True,2,2,
804,name,n.,名字,people,,True,2,2,
805,national,adj.,國家的,adjectives,,False,3,2,
806,nature,n.,大自然,weather,🌳,False,3,2,
807,near,prep.,在…附近,prepositions,,False,2,2,
808,neck,n.,脖子,body,,True,2,2,
809,need,v.,需要,verbs,,True,2,2,
810,neighbor,n.,鄰居,people,,False,3,2,
811,never,adv.,從不,adverbs,,True,2,2,
812,news,n.,新聞,nouns,,True,2,2,
813,newspaper,n.,報紙,nouns,📰,False,3,2,
814,next,adj.,下一個的,time,,True,2,2,
815,nice,adj.,友善的,traits,,True,2,2,
816,ninety,num.,九十,numbers,,False,3,2,
817,no,adv.,不,adverbs,,False,2,2,
818,nobody,pron.,沒有人,pronouns,,False,3,2,
819,noise,n.,噪音,nouns,,True,2,2,
820,noisy,adj.,吵鬧的,adjectives,,True,2,2,
821,noon,n.,中午,time,🕛,True,2,2,
822,north,n.,北方,places,,True,2,2,
823,not,adv.,不是,adverbs,,True,2,2,
824,note,n.,筆記,nouns,📝,True,2,2,
825,notebook,n.,筆記本,school,📓,False,3,2,
826,nothing,pron.,沒有東西,pronouns,,False,3,2,
827,notice,v.,注意到,verbs,,False,3,2,
828,now,adv.,現在,time,,True,2,2,
829,number,n.,數字,numbers,🔢,False,3,2,
830,o'clock,adv.,…點鐘,time,🕐,False,3,2,
831,of,prep.,的,prepositions,,False,2,2,
832,off,prep.,離開,prepositions,,False,2,2,
833,office,n.,辦公室,places,🏢,False,3,2,
834,officer,n.,警官,jobs,👮,False,3,2,
835,often,adv.,常常,adverbs,,True,2,2,
836,oil,n.,油,food,,True,2,2,
837,OK,adj.,好的,adjectives,👌,False,2,2,
838,on,prep.,在…上面,prepositions,,False,2,2,
839,once,adv.,一次,time,,True,2,2,
840,only,adj.,唯一的,adjectives,,True,2,2,
841,or,conj.,或者,conjunctions,,False,2,2,
842,order,v.,點餐,food,,True,2,2,
843,other,pron.,其他,pronouns,,False,2,2,
844,out,prep.,在外面,prepositions,,False,2,2,
845,outside,prep.,在…外面,prepositions,,False,3,2,
846,over,prep.,在…上方,prepositions,,False,2,2,
847,own,v.,擁有,verbs,,False,2,2,
848,p.m,adv.,下午,time,,False,2,2,
849,pack,v.,打包,sizes,,True,2,2,
850,package,n.,包裹,sizes,📦,False,3,2,
851,page,n.,頁,school,📄,True,2,2,
852,paint,v.,畫畫,sports,🎨,True,2,2,
853,pair,n.,一雙,sizes,,True,2,2,
854,papaya,n.,木瓜,food,,False,3,2,
855,paper,n.,紙,school,,True,2,2,
856,parent,n.,父母,family,,False,3,2,
857,part,n.,部分,pronouns,,True,2,2,
858,party,n.,派對,nouns,🎉,True,2,2,
859,pass,v.,通過,school,,True,2,2,
860,past,n.,過去,time,,True,2,2,
861,paste,v.,貼上,verbs,,False,2,2,
862,pay,v.,付錢,money,,True,2,2,
863,PE,n.,體育課,school,,False,2,2,physical education
864,peach,n.,桃子,food,🍑,True,2,2,
865,pear,n.,梨子,food,🍐,True,2,2,
866,people,n.,人們,people,👥,False,3,2,
867,perhaps,adv.,或許,adverbs,,False,3,2,
868,person,n.,人,people,🧑,False,3,2,
869,pet,n.,寵物,animals,,True,2,2,
870,photo,n.,照片,nouns,📷,True,2,2,
871,piano,n.,鋼琴,sports,🎹,True,2,2,
872,pick,v.,挑選,verbs,,True,2,2,
873,picnic,n.,野餐,sports,🧺,False,3,2,
874,picture,n.,圖畫,school,🖼️,False,3,2,
875,pie,n.,派,food,🥧,True,2,2,
876,piece,n.,一片,sizes,,True,2,2,
877,pin,n.,別針,nouns,📌,True,2,2,
878,pipe,n.,管子,nouns,,False,2,2,
879,place,n.,地方,places,,True,2,2,
880,plan,v.,計畫,verbs,,True,2,2,
881,planet,n.,行星,nouns,🪐,False,3,2,
882,plant,v.,種植,verbs,🌱,True,2,2,
883,player,n.,選手,nouns,,False,3,2,
884,please,v.,請,verbs,,False,3,2,
885,pleasure,n.,榮幸,nouns,,False,3,2,
886,pocket,n.,口袋,clothing,,False,3,2,
887,point,n.,點,sizes,,True,2,2,
888,polite,adj.,有禮貌的,traits,,False,3,2,
889,pond,n.,池塘,geography,,True,2,2,
890,pool,n.,游泳池,places,🏊,True,2,2,
891,poor,adj.,貧窮的,traits,,True,2,2,
892,pop,adj.,流行的,adjectives,,True,2,2,
893,popcorn,n.,爆米花,food,🍿,False,3,2,
894,popular,adj.,受歡迎的,adjectives,,False,3,2,
895,pork,n.,豬肉,food,🥓,True,2,2,
896,possible,adj.,可能的,adjectives,,False,3,2,
897,postcard,n.,明信片,school,,False,3,2,
898,pot,n.,鍋子,house,🍲,True,2,2,
899,pound,n.,磅,sizes,,False,2,2,
900,power,n.,力量,nouns,,True,2,2,
901,probably,adv.,大概,adverbs,,False,3,2,
902,practice,v.,練習,school,,False,3,2,
903,pray,v.,祈禱,verbs,🙏,False,2,2,
904,prepare,v.,準備,school,,False,3,2,
905,present,n.,禮物,school,🎁,False,3,2,
906,pretty,adj.,漂亮的,traits,,False,3,2,
907,price,n.,價格,money,🏷️,True,2,2,
908,prize,n.,獎品,nouns,🏆,True,2,2,
909,problem,n.,問題,school,,False,3,2,
910,program,n.,節目,nouns,,False,3,2,
911,proud,adj.,驕傲的,traits,,True,2,2,
912,public,adj.,公共的,adjectives,,False,3,2,
913,pull,v.,拉,verbs,,True,2,2,
914,pumpkin,n.,南瓜,food,🎃,False,3,2,
915,puppy,n.,小狗,animals,🐶,True,2,2,
916,push,v.,推,verbs,,True,2,2,
917,put,v.,放,verbs,,True,2,2,
918,quarter,n.,十五分鐘,time,,False,3,2,
919,queen,n.,女王,people,👸,True,2,2,
920,question,n.,題目,school,❓,False,3,2,
921,quick,adj.,快速的,transportation,,True,2,2,
922,quiet,adj.,安靜的,adjectives,🤫,True,2,2,
923,quite,adv.,相當,adverbs,,False,2,2,
924,quiz,n.,小考,school,,True,2,2,
925,race,n.,賽跑,sports,🏃,True,2,2,
926,radio,n.,收音機,house,📻,True,2,2,
927,raise,v.,舉起,verbs,,True,2,2,
928,rat,n.,老鼠,animals,🐀,True,2,2,
929,reach,v.,到達,verbs,,True,2,2,
930,ready,adj.,準備好的,adjectives,,True,2,2,
931,real,adj.,真實的,adjectives,,True,2,2,
932,really,adv.,真的,adverbs,,False,3,2,
933,reason,n.,理由,nouns,,False,3,2,
934,refrigerator,n.,冰箱,house,,False,3,2,fridge
935,relative,n.,親戚,family,,False,3,2,
936,remember,v.,記得,verbs,,False,3,2,
937,repeat,v.,重複,school,🔁,False,3,2,
938,report,n.,報告,nouns,,False,3,2,
939,reporter,n.,記者,jobs,,False,3,2,
940,rest,v.,休息,verbs,,True,2,2,
941,restroom,n.,廁所,places,🚻,False,3,2,
942,rich,adj.,有錢的,traits,🤑,True,2,2,
943,ride,v.,騎,transportation,,True,2,2,
944,right,n.,右邊,places,➡️,True,2,2,
945,ring,n.,戒指,clothing,💍,True,2,2,
946,rise,v.,上升,verbs,,True,2,2,
947,river,n.,河,geography,,True,2,2,
948,road,n.,道路,house,🛣️,True,2,2,
949,robot,n.,機器人,nouns,🤖,True,2,2,
950,R.O.C./ROC,n.,中華民國,countries,🇹🇼,False,3,2,
951,rock,n.,石頭,nouns,🪨,True,2,2,
952,roll,v.,滾動,verbs,,True,2,2,
953,root,n.,根,nouns,,False,2,2,
954,rope,n.,繩子,nouns,🪢,True,2,2,
955,rose,n.,玫瑰,nouns,🌹,True,2,2,
956,round,adj.,圓的,sizes,⭕,True,2,2,
957,row,n.,一排,sizes,,True,2,2,
958,rule,n.,規則,nouns,,True,2,2,
959,safe,adj.,安全的,adjectives,,True,2,2,
960,sail,v.,航行,sports,⛵,True,2,2,
961,salad,n.,沙拉,food,🥗,True,2,2,
962,sale,n.,拍賣,nouns,,True,2,2,
963,salesman,n.,推銷員,jobs,,False,3,2,
964,salt,n.,鹽,food,🧂,True,2,2,
965,same,adj.,相同的,adjectives,,True,2,2,
966,sandwich,n.,三明治,food,🥪,False,3,2,
967,save,v.,拯救,verbs,,True,2,2,
968,say,v.,說,school,,True,2,2,
969,scared,adj.,害怕的,traits,😨,False,3,2,
970,scooter,n.,機車,transportation,🛵,False,3,2,
971,screen,n.,螢幕,nouns,🖥️,False,3,2,
972,sea,n.,海,geography,🌊,True,2,2,
973,season,n.,季節,time,,False,3,2,
974,seat,n.,座位,nouns,💺,True,2,2,
975,second,n.,秒,numbers,,False,3,2,
976,secretary,n.,祕書,jobs,,False,3,2,
977,see,v.,看見,verbs,👀,True,2,2,
978,seed,n.,種子,nouns,,True,2,2,
979,seesaw,n.,蹺蹺板,school,,False,3,2,
980,seldom,adv.,很少,adverbs,,False,3,2,
981,sell,v.,賣,verbs,,True,2,2,
982,send,v.,寄送,verbs,,True,2,2,
983,senior high school,n.,高中,school,,False,3,2,
984,sentence,n.,句子,nouns,,False,3,2,
985,serious,adj.,嚴肅的,adjectives,,False,3,2,
986,service,n.,服務,nouns,,False,3,2,
987,set,n.,一套,nouns,,True,2,2,
988,seventy,num.,七十,numbers,,False,3,2,
989,several,adj.,幾個的,numbers,,False,3,2,
990,shake,v.,搖動,verbs,,True,2,2,
991,shape,n.,形狀,sizes,,True,2,2,
992,share,v.,分享,verbs,,True,2,2,
993,sharp,adj.,鋒利的,adjectives,,True,2,2,
994,she,pron.,她,pronouns,👩,False,2,2,"her, hers, herself"
995,shine,v.,照耀,weather,,False,2,2,
996,ship,n.,船,transportation,🚢,True,2,2,
997,shop,n.,商店,places,🏪,True,2,2,
998,shopkeeper,n.,店主,jobs,,False,3,2,
999,should,aux.,應該,auxiliaries,,False,3,2,
1000,shoulder,n.,肩膀,body,,False,3,2,
1001,shout,v.,大喊,verbs,📢,True,2,2,
1002,show,v.,展示,verbs,,True,2,2,
1003,shower,n.,陣雨,weather,🌦️,False,3,2,
1004,shy,adj.,害羞的,traits,,True,2,2,
1005,side,n.,邊,nouns,,True,2,2,
1006,sidewalk,n.,人行道,transportation,,False,3,2,
1007,sight,n.,景象,nouns,,False,2,2,
1008,sign,v.,簽名,verbs,✍️,True,2,2,
1009,simple,adj.,簡單的,adjectives,,False,3,2,
1010,since,prep.,自從,prepositions,,False,2,2,
1011,sir,n.,閣下,people,,False,2,2,
1012,sit,v.,坐,verbs,🪑,True,2,2,
1013,sixty,num.,六十,numbers,,True,2,2,
1014,size,n.,尺寸,sizes,,True,2,2,
1015,sky,n.,天空,weather,,True,2,2,
1016,slide,n.,溜滑梯,school,🛝,True,2,2,
1017,slim,adj.,苗條的,traits,,True,2,2,
1018,smart,adj.,聰明的,traits,🧠,True,2,2,
1019,smell,v.,聞,verbs,👃,True,2,2,
1020,smile,n.,微笑,nouns,😊,True,2,2,
1021,smoke,v.,抽菸,verbs,🚬,True,2,2,
1022,snack,n.,點心,food,🍪,True,2,2,
1023,snowy,adj.,下雪的,weather,🌨️,True,2,2,
1024,so,adv.,所以,adverbs,,False,2,2,
1025,sofa,n.,沙發,house,🛋️,True,2,2,
1026,soldier,n.,士兵,jobs,,False,3,2,
1027,some,adj.,一些的,numbers,,True,2,2,
1028,someone,pron.,某人,pronouns,,False,3,2,somebody
1029,something,pron.,某事,pronouns,,False,3,2,
1030,sometimes,adv.,有時候,adverbs,,False,3,2,
1031,somewhere,adv.,某處,adverbs,,False,3,2,
1032,song,n.,歌曲,sports,🎵,True,2,2,
1033,soon,adv.,很快地,time,,True,2,2,
1034,sore,adj.,痠痛的,health,,False,2,2,
1035,sorry,adj.,抱歉的,adjectives,,True,2,2,
1036,sound,v.,聽起來,verbs,,True,2,2,
1037,south,n.,南方,places,,True,2,2,
1038,space,n.,太空,nouns,🚀,True,2,2,
1039,special,adj.,特別的,adjectives,,False,3,2,
1040,spell,v.,拼字,school,,True,2,2,
1041,spend,v.,花費,money,,True,2,2,
1042,spider,n.,蜘蛛,animals,🕷️,False,3,2,
1043,sports,n.,運動,sports,,False,3,2,
1044,square,n.,正方形,sizes,🟥,False,3,2,
1045,stairs,n.,樓梯,house,,False,3,2,
1046,stamp,n.,郵票,sports,,True,2,2,
1047,stand,v.,站立,verbs,🧍,True,2,2,
1048,start,v.,開始,verbs,,True,2,2,
1049,stay,v.,停留,verbs,,True,2,2,
1050,steak,n.,牛排,food,🥩,True,2,2,
1051,still,adv.,仍然,adverbs,,True,2,2,
1052,stomach,n.,胃,body,,False,3,2,
1053,stop,v.,停止,verbs,🛑,True,2,2,
1054,story,n.,故事,school,📖,True,2,2,
1055,straight,adj.,直的,sizes,,False,3,2,
1056,strange,adj.,奇怪的,adjectives,,False,3,2,
1057,stranger,n.,陌生人,people,,False,3,2,
1058,street,n.,街道,house,,False,3,2,
1059,string,n.,細繩,nouns,🧵,False,3,2,
1060,strong,adj.,強壯的,health,💪,False,3,2,
1061,study,v.,讀書,school,,True,2,2,
1062,stupid,adj.,愚蠢的,traits,,False,3,2,
1063,subject,n.,科目,nouns,,False,3,2,
1064,successful,adj.,成功的,traits,,False,3,2,
1065,sugar,n.,糖,food,,True,2,2,
1066,sure,adj.,確定的,adjectives,,True,2,2,
1067,surf,v.,衝浪,sports,🏄,False,2,2,
1068,surprise,v.,使驚訝,verbs,,False,3,2,
1069,surprised,adj.,驚訝的,adjectives,😮,False,3,2,
1070,sweater,n.,毛衣,clothing,,False,3,2,
1071,sweet,adj.,甜的,food,,True,2,2,
1072,swing,n.,鞦韆,nouns,,True,2,2,
1073,tail,n.,尾巴,animals,,True,2,2,
1074,Taiwan,n.,臺灣,countries,🇹🇼,False,3,2,
1075,take,v.,拿,verbs,,True,2,2,
1076,talk,v.,談話,school,,True,2,2,
1077,tape,n.,膠帶,house,,True,2,2,
1078,taste,v.,嚐,verbs,,True,2,2,
1079,team,n.,隊伍,sports,,True,2,2,
1080,teenager,n.,青少年,people,,False,3,2,
1081,telephone,n.,電話,house,☎️,False,3,2,phone
1082,television,n.,電視,house,📺,False,3,2,TV
1083,tell,v.,告訴,verbs,,True,2,2,
1084,temple,n.,廟,places,,False,3,2,
1085,tennis,n.,網球,sports,🎾,False,3,2,
1086,terrible,adj.,糟糕的,adjectives,,False,3,2,
1087,than,conj.,比,prepositions,,False,2,2,
1088,thank,v.,感謝,verbs,,True,2,2,
1089,that,pron.,那個,pronouns,,False,2,2,
1090,the,art.,這個,pronouns,,False,2,2,
1091,theater,n.,劇院,places,🎭,False,3,2,
1092,then,adv.,然後,adverbs,,True,2,2,
1093,there,adv.,那裡,places,,True,2,2,
1094,these,pron.,這些,pronouns,,False,2,2,
1095,they,pron.,他們,pronouns,,False,2,2,"them, their, theirs, themselves"
1096,thick,adj.,厚的,adjectives,,True,2,2,
1097,thin,adj.,瘦的,traits,,True,2,2,
1098,thing,n.,東西,nouns,,True,2,2,
1099,think,v.,想,verbs,🤔,True,2,2,
1100,third,num.,第三,numbers,🥉,True,2,2,
1101,thirty,num.,三十,numbers,,False,3,2,
1102,this,pron.,這,pronouns,,False,2,2,
1103,those,pron.,那些,pronouns,,False,2,2,
1104,though,conj.,雖然,conjunctions,,False,3,2,although
1105,thousand,num.,千,numbers,,False,3,2,
1106,throat,n.,喉嚨,body,,False,3,2,
1107,through,prep.,穿過,prepositions,,False,3,2,
